21,3839,700.00,271.00,39.00,103.00,1,-1,-1,-1
22,3839,700.00,271.00,39.00,103.00,1,-1,-1,-1
23,3839,700.00,271.00,39.00,103.00,1,-1,-1,-1
24,3839,700.00,271.00,39.00,103.00,1,-1,-1,-1
25,3839,683.72,268.10,38.97,102.28,1,-1,-1,-1
26,3839,678.04,267.11,39.14,102.03,1,-1,-1,-1
27,3839,676.14,266.79,39.40,101.95,1,-1,-1,-1
28,3839,675.55,266.71,39.68,101.93,1,-1,-1,-1
29,3839,660.40,255.87,41.54,105.99,1,-1,-1,-1
29,3840,379.00,189.00,40.00,99.00,1,-1,-1,-1
30,3839,654.88,251.95,42.38,107.48,1,-1,-1,-1
30,3840,379.00,189.00,40.00,99.00,1,-1,-1,-1
31,3839,652.91,250.53,42.86,108.02,1,-1,-1,-1
31,3840,379.00,189.00,40.00,99.00,1,-1,-1,-1
32,3839,652.27,250.09,43.19,108.21,1,-1,-1,-1
32,3840,379.00,189.00,40.00,99.00,1,-1,-1,-1
33,3839,636.37,250.00,40.77,101.02,1,-1,-1,-1
33,3840,379.00,189.00,40.00,99.00,1,-1,-1,-1
34,3839,630.38,250.08,40.06,98.22,1,-1,-1,-1
35,3839,628.27,250.17,40.04,97.22,1,-1,-1,-1
36,3839,627.57,250.25,40.25,96.88,1,-1,-1,-1
37,3839,622.99,248.99,40.01,96.31,1,-1,-1,-1
41,3839,579.80,234.86,39.09,93.09,1,-1,-1,-1
42,3839,575.96,233.64,39.32,92.83,1,-1,-1,-1
43,3839,574.55,233.22,39.57,92.74,1,-1,-1,-1
44,3839,574.13,233.12,39.81,92.72,1,-1,-1,-1
45,3839,569.81,230.50,38.75,89.44,1,-1,-1,-1
45,3841,420.00,173.00,39.00,92.00,1,-1,-1,-1
46,3839,568.33,229.59,38.52,88.22,1,-1,-1,-1
46,3841,420.00,173.00,39.00,92.00,1,-1,-1,-1
47,3839,567.87,229.31,38.60,87.80,1,-1,-1,-1
47,3841,420.00,173.00,39.00,92.00,1,-1,-1,-1
48,3839,567.78,229.25,38.78,87.67,1,-1,-1,-1
48,3841,420.00,173.00,39.00,92.00,1,-1,-1,-1
49,3839,557.88,227.96,33.79,77.09,1,-1,-1,-1
49,3841,419.51,175.17,37.09,87.65,1,-1,-1,-1
50,3839,550.44,226.18,35.56,82.05,1,-1,-1,-1
50,3841,419.37,175.72,36.63,86.56,1,-1,-1,-1
51,3839,548.04,225.58,35.88,83.65,1,-1,-1,-1
52,3839,547.41,225.40,35.83,84.30,1,-1,-1,-1
53,3839,543.15,224.19,35.59,83.75,1,-1,-1,-1
57,3840,381.79,182.02,34.42,84.04,1,-1,-1,-1
57,3842,633.00,253.00,38.00,104.00,1,-1,-1,-1
58,3839,501.53,219.87,34.09,81.00,1,-1,-1,-1
58,3840,381.91,181.74,34.18,83.45,1,-1,-1,-1
58,3842,619.22,240.14,40.70,111.71,1,-1,-1,-1
59,3839,498.76,219.63,33.75,80.83,1,-1,-1,-1
59,3842,617.01,238.00,40.99,113.00,1,-1,-1,-1
60,3839,497.85,219.53,33.51,80.77,1,-1,-1,-1
60,3842,616.49,237.42,40.89,113.35,1,-1,-1,-1
61,3839,492.70,218.62,33.31,80.29,1,-1,-1,-1
61,3842,614.66,235.72,41.26,114.37,1,-1,-1,-1
65,3839,462.10,198.63,35.49,87.12,1,-1,-1,-1
65,3840,382.20,187.69,31.68,77.09,1,-1,-1,-1
66,3839,459.65,196.80,35.24,87.78,1,-1,-1,-1
66,3840,382.17,188.01,31.63,76.80,1,-1,-1,-1
67,3839,458.94,196.16,34.91,88.01,1,-1,-1,-1
67,3840,382.15,188.11,31.63,76.70,1,-1,-1,-1
68,3839,458.93,195.98,34.60,88.09,1,-1,-1,-1
68,3840,382.14,188.14,31.66,76.68,1,-1,-1,-1
